frame	time	ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.flags	tcp.seq	tcp.ack
1	2026-09-08T17:34:03.209240-0400	127.0.0.1	45348	127.0.0.1	80	0x0002	0	0
2	2026-09-08T17:34:03.209257-0400	127.0.0.1	80	127.0.0.1	45348	0x0012	0	1
3	2026-09-08T17:34:03.209269-0400	127.0.0.1	45348	127.0.0.1	80	0x0010	1	1
4	2026-09-08T17:34:03.209720-0400	127.0.0.1	45348	127.0.0.1	80	0x0018	1	1
5	2026-09-08T17:34:03.209779-0400	127.0.0.1	80	127.0.0.1	45348	0x0010	1	84
6	2026-09-08T17:34:03.212656-0400	127.0.0.1	80	127.0.0.1	45348	0x0018	1	84
7	2026-09-08T17:34:03.212687-0400	127.0.0.1	45348	127.0.0.1	80	0x0010	84	386
8	2026-09-08T17:34:03.214467-0400	127.0.0.1	45348	127.0.0.1	80	0x0011	84	386
9	2026-09-08T17:34:03.214614-0400	127.0.0.1	80	127.0.0.1	45348	0x0011	386	85
10	2026-09-08T17:34:03.214635-0400	127.0.0.1	45348	127.0.0.1	80	0x0010	85	387
